Selección,Victorias_Titulo,Probabilidad_Campeón,Probabilidad_Final,Probabilidad_Semi,IC95_Campeon_Lo,IC95_Campeon_Hi,IC95_Final_Lo,IC95_Final_Hi,IC95_Semi_Lo,IC95_Semi_Hi
ESP,5160,0.516,0.6045,0.6984,0.5062007536361528,0.5257869579645587,0.5948780536688943,0.6140416877232525,0.6893297466662722,0.7073178771825501
NOR,1074,0.1074,0.2554,0.4166,0.10148148179958685,0.1136200447979554,0.2469477725257404,0.26404008637838294,0.40697111967921124,0.42629293360208015
JPN,751,0.0751,0.2016,0.3455,0.07009595040707557,0.08043038339653043,0.19385184196239882,0.20957733668433223,0.3362405228349213,0.3548781370207084
MAR,702,0.0702,0.2184,0.3728,0.06535580828956841,0.07537428883631969,0.2104110287542239,0.22660524707325425,0.3633729693848618,0.3823247233894819
MEX,551,0.0551,0.1461,0.3535,0.05079620632203587,0.0597454879806808,0.13931305105843167,0.15315875297333148,0.34418798623799807,0.36292452941798736
CAN,426,0.0426,0.1016,0.2981,0.038814221674395286,0.04673707294026554,0.09583056859922517,0.10767541254305918,0.28921341499640146,0.30714164924212056
AUS,282,0.0282,0.0958,0.2028,0.02513208568677927,0.031630268487241237,0.09018562863174691,0.10172480705527955,0.19503395388698333,0.2107943031298011
NGA,267,0.0267,0.0792,0.1668,0.02371751406726394,0.03004599214418987,0.07406714929477991,0.0846560356065084,0.15962141027781498,0.17423449563736862
IRN,190,0.019,0.055,0.2105,0.0165029705741473,0.02186644942946411,0.050700063435365754,0.05964170766984645,0.20262172251964836,0.21860062070497846
KOR,141,0.0141,0.0502,0.1155,0.011968608301383373,0.016604575024510147,0.046090260502975426,0.054655197122023345,0.1093824776146613,0.12191282798074116
EGY,88,0.0088,0.0304,0.1014,0.00714874867320408,0.010828505184953773,0.027211117206095255,0.03394954731302308,0.09563581345560253,0.10747032129167296
CHL,74,0.0074,0.0282,0.0675,0.005899061875743287,0.009279267217352309,0.02513208568677927,0.031630268487241237,0.06274686088901163,0.07258530990425643
DZA,72,0.0072,0.0306,0.1394,0.005721669784983977,0.009056812913102725,0.027400359019925945,0.03416015189420128,0.13274964245303122,0.14632730734593402
CIV,66,0.0066,0.0261,0.1013,0.005191456013099982,0.00838748749996004,0.02315240678004198,0.029411560246385148,0.09553843855068077,0.10736777299909024
CZE,54,0.0054,0.0204,0.087,0.00414129736628239,0.0070385677767242725,0.017807850468412382,0.023360494300261287,0.08163341406327299,0.09268378024336216
USA,37,0.0037,0.0149,0.0761,0.002685632352621393,0.005095538432809675,0.012704849338175818,0.017467719567753278,0.0710641339373643,0.08146143184128615
CRI,16,0.0016,0.0095,0.0441,0.0009851240465054562,0.0025976595913322323,0.007778138186890903,0.011598578053798074,0.04024781801638016,0.048302324560847355
HND,11,0.0011,0.0064,0.0326,0.0006143442571264699,0.001968823393188985,0.005015420431189329,0.0081636766868618,0.029294819669953006,0.03626415519426315
COD,10,0.001,0.0088,0.0442,0.0005432800768105723,0.0018399643760004356,0.00714874867320408,0.010828505184953773,0.04034343693887649,0.04840662883585549
BIH,7,0.0007,0.0029,0.0212,0.00033912200289172947,0.0014443528574059384,0.002019983350543452,0.004161801854852043,0.018555034963298515,0.024212695385410724
CMR,6,0.0006,0.0025,0.0165,0.0002750097221404114,0.0013085419406528096,0.0016939856428771645,0.003688106772500543,0.014182445742763578,0.019188894323236668
BFA,5,0.0005,0.0023,0.017,0.00021358527533545964,0.001170043189953315,0.0015331432202735716,0.0034491028000952426,0.014645471212918428,0.019725484840604053
GUA,3,0.0003,0.0008,0.0086,0.00010203035287762114,0.0008817517174022601,0.0004054288421193391,0.0015779692156827755,0.0069694415612848925,0.010607965901864063
JAM,2,0.0002,0.0014,0.0083,5.4847779209068104e-05,0.0007290110935663664,0.0008341542630379929,0.0023487829797908017,0.006700942671085995,0.010276695199549622
BGR,1,0.0001,0.0006,0.0054,1.765221952685649e-05,0.0005662834557441313,0.0002750097221404114,0.0013085419406528096,0.00414129736628239,0.0070385677767242725
GHA,1,0.0001,0.0008,0.0049,1.765221952685649e-05,0.0005662834557441313,0.0004054288421193391,0.0015779692156827755,0.003708607890717938,0.00647164126476649
FIN,1,0.0001,0.0009,0.0059,1.765221952685649e-05,0.0005662834557441313,0.00047357165665044376,0.0017097495986561175,0.004577025249490057,0.007602455881038837
GEO,1,0.0001,0.0015,0.0096,1.765221952685649e-05,0.0005662834557441313,0.0009092536302792232,0.0024736068100540184,0.007868269325693327,0.011708370112500095
ALB,1,0.0001,0.0019,0.014,1.765221952685649e-05,0.0005662834557441313,0.001216734354204272,0.0029658188761467565,0.011876708198860001,0.016496551929529077
ARM,0,0.0,0.0,0.0,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0,0.00038401247776654115
BER,0,0.0,0.0,0.0001,0.0,0.00038401247776654115,0.0,0.00038401247776654115,1.765221952685649e-05,0.0005662834557441313
AND,0,0.0,0.0,0.0,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0,0.00038401247776654115
CHN,0,0.0,0.0009,0.0096,0.0,0.00038401247776654115,0.00047357165665044376,0.0017097495986561175,0.007868269325693327,0.011708370112500095
CGO,0,0.0,0.0,0.0001,0.0,0.00038401247776654115,0.0,0.00038401247776654115,1.765221952685649e-05,0.0005662834557441313
CAY,0,0.0,0.0,0.0,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0,0.00038401247776654115
AZE,0,0.0,0.0,0.0,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0,0.00038401247776654115
GUM,0,0.0,0.0,0.0,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0,0.00038401247776654115
FRO,0,0.0,0.0,0.0,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0,0.00038401247776654115
GAB,0,0.0,0.0,0.0007,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.00033912200289172947,0.0014443528574059384
CYP,0,0.0,0.0,0.0,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0,0.00038401247776654115
LVA,0,0.0,0.0,0.0,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0,0.00038401247776654115
LTU,0,0.0,0.0,0.0,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0,0.00038401247776654115
LBY,0,0.0,0.0,0.0006,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0002750097221404114,0.0013085419406528096
KWT,0,0.0,0.0,0.0,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0,0.00038401247776654115
ISL,0,0.0,0.0004,0.0034,0.0,0.00038401247776654115,0.0001555603210541602,0.0010281449467301677,0.0024341670009014214,0.004747234192016306
MDA,0,0.0,0.0,0.0,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0,0.00038401247776654115
MLT,0,0.0,0.0,0.0,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0,0.00038401247776654115
NEP,0,0.0,0.0,0.0,0.0,0.00038401247776654115,0.0,0.00038401247776654115,0.0,0.00038401247776654115
